Entity ID,Time in ROI (seconds)
1,20.897526502609253
2,20.938162326812744
3,13.626550674438477
4,20.463510513305664
5,20.414661407470703
6,20.21136975288391
7,20.162474393844604
8,19.7872531414032
9,19.83940291404724
10,19.933358430862427
11,19.840689182281494
12,19.509790897369385
13,10.50326919555664
14,17.348231554031372
15,19.06392478942871
16,17.799901962280273
17,18.873839378356934
18,1.7066354751586914
19,17.643943309783936
20,0.0943143367767334
21,16.04246950149536
22,14.392292022705078
23,13.363950490951538
24,12.645318031311035
25,16.007495641708374
26,13.736405611038208
27,11.405128717422485
28,15.807361125946045
29,16.461084365844727
30,0.09688639640808105
31,14.157604217529297
32,8.918235063552856
33,14.697357177734375
34,8.603286027908325
35,11.906512975692749
36,3.3019728660583496
37,0.09380412101745605
38,1.4944701194763184
39,0.09132552146911621
40,1.1418185234069824
41,10.282917737960815
42,0.37433362007141113
43,0.558164119720459
44,3.551279067993164
45,0.09693098068237305
46,8.218539953231812
47,8.73580026626587
48,0.0
49,0.361065149307251
50,1.4289014339447021
51,5.781801462173462
52,5.853386163711548
53,7.050116539001465
54,5.029712677001953
55,2.804987668991089
56,2.8676486015319824
57,3.1904046535491943
58,0.3736612796783447
59,0.5113842487335205
60,0.0
61,0.04869985580444336
62,1.3219058513641357
63,0.6053645610809326
64,0.4213414192199707
